channel_index,graspnet_ref,ln_affine,ln_affine_adapter,ln_adapter
100,0.13396579027175903,0.021968863904476166,0.012031542137265205,0.012031542137265205
101,0.18900823593139648,0.05105425789952278,0.023430924862623215,0.023430924862623215
102,0.01453264057636261,0.0296263936907053,0.0043634106405079365,0.0043634106405079365
103,0.9513651728630066,0.019282294437289238,0.005185357760637999,0.005185357760637999
104,0.21603921055793762,0.013288313522934914,0.00733724981546402,0.00733724981546402
105,0.3324855864048004,0.08937335759401321,0.005965100601315498,0.005965100601315498
106,0.04439761862158775,0.06327471882104874,0.006282536778599024,0.006282536778599024
107,0.014965548180043697,0.02920917235314846,0.008549368940293789,0.008549368940293789
108,0.2094135582447052,0.029285302385687828,0.011069141328334808,0.011069141328334808
109,0.3101094961166382,0.04821807146072388,0.011170754209160805,0.011170754209160805
110,0.0563742034137249,0.052926283329725266,0.019581636413931847,0.019581636413931847
111,0.048693954944610596,0.03155861049890518,0.012547164224088192,0.012547164224088192
112,0.09488174319267273,0.06163638457655907,0.01171500701457262,0.01171500701457262
113,0.13217900693416595,0.03330116719007492,0.015685172751545906,0.015685172751545906
114,0.03154557943344116,0.052451275289058685,0.012043601833283901,0.012043601833283901
115,0.04322638362646103,0.08474408835172653,0.011432108469307423,0.011432108469307423
116,0.2189560979604721,0.06887457519769669,0.0043056076392531395,0.0043056076392531395
117,0.3665430545806885,0.0377088226377964,0.007587012834846973,0.007587012834846973
118,0.08759250491857529,0.032703183591365814,0.011033768765628338,0.011033768765628338
119,0.5276418924331665,0.0352836437523365,0.014354219660162926,0.014354219660162926
120,0.08059471100568771,0.07140638679265976,0.013662771321833134,0.013662771321833134
121,0.5232892036437988,0.06418175995349884,0.005444859620183706,0.005444859620183706
122,0.017605315893888474,0.045459672808647156,0.006418717093765736,0.006418717093765736
123,0.4019467234611511,0.05278978496789932,0.0060282484628260136,0.0060282484628260136
124,0.0044864206574857235,0.04579436033964157,0.009396047331392765,0.009396047331392765
125,0.07683175802230835,0.06122526898980141,0.00917332898825407,0.00917332898825407
126,0.373534619808197,0.03148558735847473,0.008140201680362225,0.008140201680362225
127,0.39730602502822876,0.02753516659140587,0.004946522414684296,0.004946522414684296
128,0.281941294670105,0.02879812754690647,0.009789098985493183,0.009789098985493183
129,0.04182465001940727,0.027594925835728645,0.008917808532714844,0.008917808532714844
130,0.6685249209403992,0.060533616691827774,0.006524449680000544,0.006524449680000544
131,0.6817638278007507,0.03574417158961296,0.014400365762412548,0.014400365762412548
132,0.07114417850971222,0.061453767120838165,0.009971416555345058,0.009971416555345058
133,0.28625354170799255,0.031085189431905746,0.01684420183300972,0.01684420183300972
134,0.26392990350723267,0.02779208868741989,0.02052142843604088,0.02052142843604088
135,0.4387696385383606,0.07215951383113861,0.019795086234807968,0.019795086234807968
136,0.2329019010066986,0.045287925750017166,0.022474370896816254,0.022474370896816254
137,0.11536106467247009,0.06521964073181152,0.018443575128912926,0.018443575128912926
138,0.014110328629612923,0.04725869745016098,0.015044872649013996,0.015044872649013996
139,0.04307405650615692,0.06012442708015442,0.00554800545796752,0.00554800545796752
140,0.5356394648551941,0.04949658736586571,0.012899293564260006,0.012899293564260006
141,0.005485439207404852,0.05285727232694626,0.016133258119225502,0.016133258119225502
142,0.13704003393650055,0.012989025563001633,0.011243198998272419,0.011243198998272419
143,0.23057867586612701,0.05652632191777229,0.009148256853222847,0.009148256853222847
144,0.38052898645401,0.03068401850759983,0.01281492505222559,0.01281492505222559
145,0.05748480558395386,0.03029644675552845,0.009500902146100998,0.009500902146100998
146,0.46448275446891785,0.06148579344153404,0.011503870598971844,0.011503870598971844
147,0.3260461091995239,0.04638219624757767,0.002494649263098836,0.002494649263098836
148,0.08583931624889374,0.04134494811296463,0.01799778826534748,0.01799778826534748
149,0.06861099600791931,0.06725133955478668,0.005999583750963211,0.005999583750963211
150,0.07252296060323715,0.036232877522706985,0.006267985794693232,0.006267985794693232
151,0.08355557173490524,0.03640296682715416,0.006643274333328009,0.006643274333328009
152,0.0016949968412518501,0.015378449112176895,0.007916725240647793,0.007916725240647793
153,0.009331111796200275,0.02529449388384819,0.00639576418325305,0.00639576418325305
154,0.1405341923236847,0.03741148114204407,0.009778422303497791,0.009778422303497791
155,0.2614653706550598,0.018256256356835365,0.015388116240501404,0.015388116240501404
156,0.013572797179222107,0.06705571711063385,0.014768329448997974,0.014768329448997974
157,0.09696518629789352,0.041055887937545776,0.012857881374657154,0.012857881374657154
158,0.4925301671028137,0.03470117226243019,0.008709331043064594,0.008709331043064594
159,0.28438252210617065,0.031899794936180115,0.0177468154579401,0.0177468154579401
160,0.40751615166664124,0.03923821449279785,0.012121916748583317,0.012121916748583317
161,0.22757430374622345,0.02245299331843853,0.017636273056268692,0.017636273056268692
162,0.368803471326828,0.07721000909805298,0.004864366725087166,0.004864366725087166
163,0.007015077862888575,0.05909830331802368,0.0179291982203722,0.0179291982203722
164,0.0015377604868263006,0.046355582773685455,0.016639333218336105,0.016639333218336105
165,0.01136520504951477,0.0253063403069973,0.006468617357313633,0.006468617357313633
166,0.001663986942730844,0.04872061684727669,0.017417017370462418,0.017417017370462418
167,0.22364069521427155,0.040660250931978226,0.012146307155489922,0.012146307155489922
168,0.18040414154529572,0.06217468902468681,0.019114190712571144,0.019114190712571144
169,0.16177207231521606,0.011934525333344936,0.014011534862220287,0.014011534862220287
170,0.012392128817737103,0.060457851737737656,0.013155810534954071,0.013155810534954071
171,0.4814937114715576,0.04764090105891228,0.007851299829781055,0.007851299829781055
172,0.01903219148516655,0.020424285903573036,0.003479804378002882,0.003479804378002882
173,0.47412148118019104,0.03581235185265541,0.010266321711242199,0.010266321711242199
174,0.23551945388317108,0.03852465748786926,0.006981697399169207,0.006981697399169207
175,0.3269122838973999,0.046334508806467056,0.026849474757909775,0.026849474757909775
176,0.011338702403008938,0.06383064389228821,0.010842801071703434,0.010842801071703434
177,0.11258140951395035,0.03911028802394867,0.013040672056376934,0.013040672056376934
